Prompt,Response
"
Create a CAD model of a lofted section between a rectangle and a circular section. Start with a rectangular box measuring 4.0 units in length, 4.0 units in width, and 0.25 units in height, oriented on the ""front"" workplane. On the top-most face of the box, draw a 2D circle with a radius of 1.5 units. Create a new workplane offset 3.0 units above this face, and draw a 2D rectangle measuring 0.75 units by 0.5 units. Finally, generate a loft to smoothly connect the circle and rectangle, combining the geometries into a single solid.","```python
#filename: loft_between_rect_and_circle.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# Create a lofted section between a rectangle and a circular section.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  Creates a plain box to base future geometry on with the box() function.
# 3.  Selects the top-most Z face of the box.
# 4.  Draws a 2D circle at the center of the the top-most face of the box.
# 5.  Creates a workplane 3 mm above the face the circle was drawn on.
# 6.  Draws a 2D circle on the new, offset workplane.
# 7.  Creates a loft between the circle and the rectangle.
result = (
    cq.Workplane(""front"")
    .box(4.0, 4.0, 0.25)
    .faces("">Z"")
    .circle(1.5)
    .workplane(offset=3.0)
    .rect(0.75, 0.5)
    .loft(combine=True)
)

# Displays the result of this script
show(result)

```"
"Create a CAD model of a plate using splines. The plate has one of its edge as defined by spline between (0,1) and (3,1) of the plate. The plate is 3mm in length.","```python
#filename: plate_with_spline_edge.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# 1.  Establishes a workplane to create the spline on to extrude.
# 1a. Uses the X and Y origins to define the workplane, meaning that the
# positive Z direction is ""up"", and the negative Z direction is ""down"".
s = cq.Workplane(""XY"")

# The points that the spline will pass through
sPnts = [
    (2.75, 1.5),
    (2.5, 1.75),
    (2.0, 1.5),
    (1.5, 1.0),
    (1.0, 1.25),
    (0.5, 1.0),
    (0, 1.0),
]

# 2.  Generate our plate with the spline feature and make sure it is a
#     closed entity
r = s.lineTo(3.0, 0).lineTo(3.0, 1.0).spline(sPnts, includeCurrent=True).close()

# 3.  Extrude to turn the wire into a plate
result = r.extrude(0.5)

# Displays the result of this script
show(result)

```"
"Create a CAD model of a simple block of length 80 mm, height 60mm and thickness 10mm.","```python
#filename: Simple_Block.py
from ocp_vscode import show #importing for visualization
import cadquery as cq
from ocp_vscode import show #importing for visualization
# These can be modified rather than hardcoding values for each dimension.
length = 80.0  # Length of the block
height = 60.0  # Height of the block
thickness = 10.0  # Thickness of the block

# Create a 3D block based on the dimension variables above.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the X and Y origins to define the workplane, meaning that the
# positive Z direction is ""up"", and the negative Z direction is ""down"".
result = cq.Workplane(""XY"").box(length, height, thickness)

show(result)

```"
"Create a CAD model of a box with angled holes positioned at the vertices of a construction rectangle. Start with a rectangular box measuring 4.0 units in length, 4.0 units in width, and 0.25 units in height, oriented on the ""front"" workplane. Select the top-most face of the box and create a new workplane that is offset by (0, -1.5, 1.0) and rotated by 60 degrees along the X-axis. Draw a for-construction rectangle with dimensions 1.5 units by 1.5 units to define placement points. Select the vertices of the rectangle and create circular holes with a diameter of 0.25 units at each vertex, resulting in angled holes in the top face.","```python
#filename: plate_with_angled_holes.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  Creates a plain box to base future geometry on with the box() function.
# 3.  Selects the top-most Z face of the box.
# 4.  Creates a new workplane and then moves and rotates it with the
#     transformed function.
# 5.  Creates a for-construction rectangle that only exists to use for placing
#     other geometry.
# 6.  Selects the vertices of the for-construction rectangle.
# 7.  Places holes at the center of each selected vertex.
# 7a. Since the workplane is rotated, this results in angled holes in the face.
result = (
    cq.Workplane(""front"")
    .box(4.0, 4.0, 0.25)
    .faces("">Z"")
    .workplane()
    .transformed(offset=(0, -1.5, 1.0), rotate=(60, 0, 0))
    .rect(1.5, 1.5, forConstruction=True)
    .vertices()
    .hole(0.25)
)

# Displays the result of this script
show(result)

```"
"Create a CAD model of I beam using polylines. The length of the beam is 100mm. The height, width and thickness of the beam are 20mm, 20mm and 1.0 mm respectively.","```python
#filename: I_beam_using_polylines.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# These can be modified rather than hardcoding values for each dimension.
# Define up our Length, Height, Width, and thickness of the beam
(L, H, W, t) = (100.0, 20.0, 20.0, 1.0)

# Define the points that the polyline will be drawn to/thru
pts = [
    (0, H / 2.0),
    (W / 2.0, H / 2.0),
    (W / 2.0, (H / 2.0 - t)),
    (t / 2.0, (H / 2.0 - t)),
    (t / 2.0, (t - H / 2.0)),
    (W / 2.0, (t - H / 2.0)),
    (W / 2.0, H / -2.0),
    (0, H / -2.0),
]

# We generate half of the I-beam outline and then mirror it to create the full
# I-beam.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  moveTo() is used to move the first point from the origin (0, 0) to
#     (0, 10.0), with 10.0 being half the height (H/2.0). If this is not done
#     the first line will start from the origin, creating an extra segment that
#     will cause the extrude to have an invalid shape.
# 3.  The polyline function takes a list of points and generates the lines
#     through all the points at once.
# 3.  Only half of the I-beam profile has been drawn so far. That half is
#     mirrored around the Y-axis to create the complete I-beam profile.
# 4.  The I-beam profile is extruded to the final length of the beam.
result = cq.Workplane(""front"").polyline(pts).mirrorY().extrude(L)

# Displays the result of this script
show(result)

```"
Create a CAD model of a block of dimension 2mm x 3mm x 0.5mm with hole of diameter 0.5 mm by creating a block first and then selecting the upper face to create the required hole.,"```python
#filename: block_with_face_selection.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  Creates a 3D box that will have a hole placed in it later.
result = cq.Workplane(""front"").box(2, 3, 0.5)

# 3.  Find the top-most face with the >Z max selector.
# 3a. Establish a new workplane to build geometry on.
# 3b.  Create a hole down into the box.
result = result.faces("">Z"").workplane().hole(0.5)

# Displays the result of this script
show(result)

```"
"Create a CAD model of a rectangular block 80mm x 60mm x 10mm , with counter-bored holes for M2 socket head cap screws at the corners, and a circular pocket 22mm in diameter in the middle for a bearing. The bored holes should be 12mm far from the edge.","```python
#filename: pillow_block_with_counterbored_holes.py
from ocp_vscode import show #importing for visualization
import cadquery as cq
from ocp_vscode import show #importing for visualization

# These can be modified rather than hardcoding values for each dimension.
length = 80.0  # Length of the block
width = 100.0  # Width of the block
thickness = 10.0  # Thickness of the block
center_hole_dia = 22.0  # Diameter of center hole in block
cbore_hole_diameter = 2.4  # Bolt shank/threads clearance hole diameter
cbore_inset = 12.0  # How far from the edge the cbored holes are set
cbore_diameter = 4.4  # Bolt head pocket hole diameter
cbore_depth = 2.1  # Bolt head pocket hole depth

# Create a 3D block based on the dimensions above and add a 22mm center hold
# and 4 counterbored holes for bolts
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the X and Y origins to define the workplane, meaning that the
#     positive Z direction is ""up"", and the negative Z direction is ""down"".
# 2.  The highest(max) Z face is selected and a new workplane is created on it.
# 3.  The new workplane is used to drill a hole through the block.
# 3a. The hole is automatically centered in the workplane.
# 4.  The highest(max) Z face is selected and a new workplane is created on it.
# 5.  A for-construction rectangle is created on the workplane based on the
#     block's overall dimensions.
# 5a. For-construction objects are used only to place other geometry, they
#     do not show up in the final displayed geometry.
# 6.  The vertices of the rectangle (corners) are selected, and a counter-bored
#     hole is placed at each of the vertices (all 4 of them at once).
result = (
    cq.Workplane(""XY"")
    .box(length, width, thickness)
    .faces("">Z"")
    .workplane()
    .hole(center_hole_dia)
    .faces("">Z"")
    .workplane()
    .rect(length - cbore_inset, width - cbore_inset, forConstruction=True)
    .vertices()
    .cboreHole(cbore_hole_diameter, cbore_diameter, cbore_depth)
    .edges(""|Z"")
    .fillet(2.0)
)

# Displays the result of this script
show(result)

```"
"Create a CAD model of a block with a bored hole of length 80mm, height, 60mm, thickness 10mm and center hole diameter 22mm.","```python
#filename: block_with_bored_center_hole.py
from ocp_vscode import show #importing for visualization
import cadquery as cq
from ocp_vscode import show #importing for visualization
# These can be modified rather than hardcoding values for each dimension.
length = 80.0  # Length of the block
height = 60.0  # Height of the block
thickness = 10.0  # Thickness of the block
center_hole_dia = 22.0  # Diameter of center hole in block

# Create a block based on the dimensions above and add a 22mm center hole.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the X and Y origins to define the workplane, meaning that the
# positive Z direction is ""up"", and the negative Z direction is ""down"".
# 2.  The highest (max) Z face is selected and a new workplane is created on it.
# 3.  The new workplane is used to drill a hole through the block.
# 3a. The hole is automatically centered in the workplane.
result = (
    cq.Workplane(""XY"")
    .box(length, height, thickness)
    .faces("">Z"")
    .workplane()
    .hole(center_hole_dia)
)

# Displays the result of this script
show(result)

```"
"Create a CAD model of a 1x1x1 unit block with a 0.25 unit radius hole drilled all the way through from the top. Then, split the block by creating a workplane in the middle along the Y-axis and keep only the top portion of the block.","```python
#filename: split_block.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# Create a simple block with a hole through it that we can split.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the X and Y origins to define the workplane, meaning that the
#     positive Z direction is ""up"", and the negative Z direction is ""down"".
# 2.  Creates a plain box to base future geometry on with the box() function.
# 3.  Selects the top-most face of the box and establishes a workplane on it
#     that new geometry can be built on.
# 4.  Draws a 2D circle on the new workplane and then uses it to cut a hole
#     all the way through the box.
c = cq.Workplane(""XY"").box(1, 1, 1).faces("">Z"").workplane().circle(0.25).cutThruAll()

# 5.  Selects the face furthest away from the origin in the +Y axis direction.
# 6.  Creates an offset workplane that is set in the center of the object.
# 6a. One possible improvement to this script would be to make the dimensions
#     of the box variables, and then divide the Y-axis dimension by 2.0 and
#     use that to create the offset workplane.
# 7.  Uses the embedded workplane to split the object, keeping only the ""top""
#     portion.
result = c.faces("">Y"").workplane(-0.5).split(keepTop=True)

# Displays the result of this script
show(result)

```"
Create a CAD model of a box of dimension 3mmx 2mm x 0.5mm with through hole of diameter 1.0 mm at its lower left vertex.,"```python
#filename: box_with_hole_on_vertex.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  Creates a 3D box that will have a hole placed in it later.
result = cq.Workplane(""front"").box(3, 2, 0.5)

# 3.  Select the lower left vertex and make a workplane.
# 3a. The top-most Z face is selected using the >Z selector.
# 3b. The lower-left vertex of the faces is selected with the <XY selector.
# 3c. A new workplane is created on the vertex to build future geometry on.
result = result.faces("">Z"").vertices(""<XY"").workplane(centerOption=""CenterOfMass"")

# 4.  A circle is drawn with the selected vertex as its center.
# 4a. The circle is cut down through the box to cut the corner out.
result = result.circle(1.0).cutThruAll()

# Displays the result of this script
show(result)

```"
"
Create a CAD model of a case with a bottom and top part using the following process: Start by creating a solid 20x20x10 box and apply fillets to the edges, excluding the four edges on the top face. Then, shell the box with a thickness of 2 units, leaving the top face open. Next, select the top outer wire, create a centerline wire for the case seam, and cover it with a temporary lid. Use a cut to leave a lip on the case seam surface. For the top part, create a similar process but remove material inside the case seam centerline to create an outer lip. Visualize both the bottom and top parts with the respective options for transparency.","```python
#filename: case_seam_lip.py
from ocp_vscode import show #importing for visualization
import cadquery as cq
from cadquery.selectors import AreaNthSelector

case_bottom = (
    cq.Workplane(""XY"")
    .rect(20, 20)
    .extrude(10)  # solid 20x20x10 box
    .edges(""|Z or <Z"")
    .fillet(2)  # rounding all edges except 4 edges of the top face
    .faces("">Z"")
    .shell(2)  # shell of thickness 2 with top face open
    .faces("">Z"")
    .wires(AreaNthSelector(-1))  # selecting top outer wire
    .toPending()
    .workplane()
    .offset2D(-1)  # creating centerline wire of case seam face
    .extrude(1)  # covering the sell with temporary ""lid""
    .faces("">Z[-2]"")
    .wires(AreaNthSelector(0))  # selecting case crossection wire
    .toPending()
    .workplane()
    .cutBlind(2)  # cutting through the ""lid"" leaving a lip on case seam surface
)

# similar process repeated for the top part
# but instead of ""growing"" an inner lip
# material is removed inside case seam centerline
# to create an outer lip
case_top = (
    cq.Workplane(""XY"")
    .move(25)
    .rect(20, 20)
    .extrude(5)
    .edges(""|Z or >Z"")
    .fillet(2)
    .faces(""<Z"")
    .shell(2)
    .faces(""<Z"")
    .wires(AreaNthSelector(-1))
    .toPending()
    .workplane()
    .offset2D(-1)
    .cutBlind(-1)
)

show_object(case_bottom)
show_object(case_top, options={""alpha"": 0.5})

```"
"Create a 4x2x0.5 plate with four counter-sunk holes. The holes should have a diameter of 0.125, a counter-sink diameter of 0.25, and a counter-sink angle of 82°. The holes should be placed at the corner vertices of a 3.5x1.5 construction rectangle.","```python
#filename: Counter_Sunk_Holes.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# Create a plate with 4 counter-sunk holes in it.
# 1.  Establishes a workplane using an XY object instead of a named plane.
# 2.  Creates a plain box to base future geometry on with the box() function.
# 3.  Selects the top-most face of the box and established a workplane on that.
# 4.  Draws a for-construction rectangle on the workplane which only exists for
#     placing other geometry.
# 5.  Selects the corner vertices of the rectangle and places a counter-sink
#     hole, using each vertex as the center of a hole using the cskHole()
#     function.
# 5a. When the depth of the counter-sink hole is set to None, the hole will be
#     cut through.
result = (
    cq.Workplane(cq.Plane.XY())
    .box(4, 2, 0.5)
    .faces("">Z"")
    .workplane()
    .rect(3.5, 1.5, forConstruction=True)
    .vertices()
    .cskHole(0.125, 0.25, 82.0, depth=None)
)

# Displays the result of this script
show(result)

```"
